,geoName,date,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,day,year,,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress
98,Japan,2020-04-14,52,0,39,0,0,19,0,0,0,9,0,39,13,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Japan,2020-04-15,26,0,39,0,0,0,0,0,0,4,0,35,13,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Japan,2020-04-16,0,0,25,13,0,0,0,0,0,8,0,33,12,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Japan,2020-04-17,38,0,50,0,0,0,0,0,0,0,4,42,0,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Japan,2020-04-18,37,0,50,0,0,0,0,0,0,12,0,29,4,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Japan,2020-04-19,13,0,13,13,0,57,0,0,4,0,0,17,0,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Japan,2020-04-20,25,0,62,0,0,0,0,0,8,4,0,41,8,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Japan,2020-04-21,37,0,37,0,12,0,0,0,0,8,4,54,16,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Japan,2020-04-22,13,0,13,13,0,19,0,0,4,8,4,46,21,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Japan,2020-04-23,0,0,12,0,0,18,18,0,4,12,8,48,12,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Japan,2020-04-24,13,0,13,0,0,0,0,0,0,8,17,25,21,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Japan,2020-04-25,52,0,0,26,0,19,0,0,4,0,0,30,4,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Japan,2020-04-26,13,0,13,0,0,37,0,0,4,4,8,33,21,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Japan,2020-04-27,0,0,25,0,0,72,0,0,4,8,4,49,16,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Japan,2020-04-28,13,0,50,0,0,37,0,0,12,8,4,74,0,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Japan,2020-04-29,0,0,64,0,0,0,19,0,0,8,0,21,25,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Japan,2020-04-30,34,0,23,0,0,0,17,0,0,7,4,45,19,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Japan,2020-05-01,0,0,38,13,0,0,18,0,4,8,0,66,8,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Japan,2020-05-02,51,0,51,0,0,19,0,0,0,0,4,50,8,54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Japan,2020-05-03,0,0,25,0,0,18,0,0,0,4,0,29,17,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
